Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-23T12:18:15,nan,N/A,1
2026-06-23T12:18:31,nan,N/A,1
2026-06-23T12:18:47,nan,N/A,1
2026-06-23T12:19:03,nan,N/A,1
2026-06-23T12:19:19,0.24400000000000002,6.0,1
2026-06-23T12:19:34,0.24570833333333333,2.0,1
2026-06-23T12:19:50,0.24509859154929572,4.0,1
2026-06-23T12:20:06,0.2454018691588785,N/A,1
2026-06-23T12:20:22,0.24507547169811317,6.0,1
2026-06-23T12:20:39,0.24949212598425197,6.0,1
2026-06-23T12:20:55,0.24953398058252432,5.0,1
2026-06-23T12:21:11,0.24942045454545458,7.0,1
2026-06-23T12:21:27,0.24182258064516124,1.0,1
2026-06-23T12:21:43,0.23970588235294119,N/A,1
2026-06-23T12:21:59,0.23540540540540536,N/A,1
2026-06-23T12:22:15,0.17893749999999964,6.0,1
2026-06-23T12:22:31,0.09863775510204081,4.0,1
2026-06-23T12:22:47,0.09850568181818184,6.0,1
2026-06-23T12:23:03,0.09941379310344828,6.0,1
2026-06-23T12:23:19,0.09930357142857144,1.0,1
2026-06-23T12:23:35,0.10599999999999934,N/A,1
2026-06-23T12:23:51,0.13359999999999916,N/A,1
2026-06-23T12:24:07,0.22209999999999985,139.0,1
2026-06-23T12:24:23,0.2418181818181819,211.0,3
2026-06-23T12:24:40,0.24521874999999987,232.0,6
2026-06-23T12:24:57,0.24931645569620245,249.0,9
2026-06-23T12:25:14,0.23400000000000015,218.0,10
2026-06-23T12:25:31,0.23725059427387088,229.0,10
2026-06-23T12:25:47,0.23515133998724383,182.0,10
2026-06-23T12:26:04,0.23982863849765268,269.0,10
2026-06-23T12:26:21,0.23629866129995572,261.0,10
2026-06-23T12:26:37,0.23412825664947712,245.0,10
2026-06-23T12:26:53,0.2346657130451486,257.0,10
2026-06-23T12:27:09,0.23077173742014448,241.0,10
2026-06-23T12:27:25,0.22987660414610073,243.0,10
2026-06-23T12:27:41,0.231327723317244,266.0,10
2026-06-23T12:27:57,0.22111517425959776,207.0,10
2026-06-23T12:28:13,0.2284222338204597,156.0,10
2026-06-23T12:28:29,0.23096675498834246,156.0,10
2026-06-23T12:28:45,0.21100272232304862,151.0,10
2026-06-23T12:29:01,0.2374458456973293,99.0,10
2026-06-23T12:29:17,0.17564864864865004,N/A,10
2026-06-23T12:29:33,0.22201197608107515,3.0,10
2026-06-23T12:29:49,0.2235104166666665,4.0,10
2026-06-23T12:30:05,0.21246134020618465,2.0,10
2026-06-23T12:30:21,0.219048929402482,2.0,10
2026-06-23T12:30:37,0.22373882574709078,1.0,2
2026-06-23T12:30:52,0.2209771325086841,6.0,2
2026-06-23T12:31:09,0.2335122995029564,5.0,2
2026-06-23T12:31:24,0.23336274509803914,9.0,1
2026-06-23T12:31:40,0.23317243243243244,N/A,1
2026-06-23T12:31:56,0.23319059947296192,N/A,1
2026-06-23T12:32:12,0.23151458885941625,N/A,1
2026-06-23T12:32:28,0.09815,N/A,1
2026-06-23T12:32:43,nan,N/A,1
2026-06-23T12:32:59,nan,N/A,1
