timestamp,p99_latency,replica_count,cpu_cores,queue_depth,drop_fraction
1782066890.195,0.17071428571428546,3.0,0.2842374055787075,0.0,0.0
1782066905.563,1.265000000000001,3.0,0.19457678196760853,0.0,0.0
1782066920.66,1.115000000000003,3.0,0.2572660807681425,0.0,0.0
1782066935.758,0.18840000000000012,3.0,0.37648639118465255,0.0,0.0
1782066950.844,0.16489999999999994,3.0,0.47691028690254883,0.0,0.0
1782066965.96,0.14299999999999985,3.0,0.4538137892416901,0.0,0.0
1782066981.037,0.13400000000000006,3.0,0.4327672327672326,0.0,0.0
1782066996.114,0.1339999999999997,3.0,0.42665061088698064,0.0,0.0
1782067011.18,0.14583333333333376,3.0,0.4261738261738256,0.0,0.0
1782067026.29,0.17125000000000012,3.0,0.4512200275421536,0.0,0.0
1782067041.381,0.1709166666666666,3.0,0.4621224615097821,0.0,0.0
1782067056.486,0.17385714285714277,3.0,0.47718388547447976,0.0,0.0
1782067071.575,0.16077777777777777,3.0,0.46272496783166117,0.0,0.0
1782067086.668,0.1769333333333334,3.0,0.4656035907543301,0.0,0.0
1782067101.771,0.17299999999999996,3.0,0.47131925436055566,0.0,0.0
1782067116.878,0.17442857142857127,3.0,0.4731923879723168,0.0,0.0
1782067131.988,0.1632999999999999,3.0,0.4952882009044133,0.0,0.0
1782067147.076,0.16672727272727283,3.0,0.49836745325580034,0.0,0.0
1782067162.174,0.39816666666666645,3.0,0.9380244316528972,2.0,0.03486238532110092
1782067177.303,0.4865714285714291,3.0,1.658558399129296,3.0,0.11723446893787574
1782067192.584,0.491384615384615,3.0,2.392087364037975,3.0,0.15020408163265306
1782067208.336,0.6234210526315797,3.0,2.9250741545711123,3.0,0.22672872340425534
1782067223.726,0.6518181818181837,3.0,2.520610615972676,3.0,0.28868050904219694
1782067238.929,0.6573611111111115,1.0,2.0297836174841146,3.0,0.4042699724517906
1782067254.048,0.6104166666666662,1.0,1.5409226630326096,2.0,0.45525568181818177
1782067269.159,0.47655000000000014,1.0,0.989924836078682,3.0,0.4958553127354936
1782067284.35,0.49066666666666653,1.0,0.9895313061893151,3.0,0.4920152091254753
1782067299.537,0.47900000000000015,1.0,0.9906452386663457,2.0,0.47788983708301014
1782067314.647,0.4871904761904759,1.0,0.9903898024015537,2.0,0.4857582755966128
1782067329.817,0.4740000000000002,1.0,0.9905443495991835,3.0,0.4536585365853658
1782067344.948,0.4663499999999998,1.0,0.9900099900099982,3.0,0.4103237095363079
1782067360.068,0.45885714285714313,1.0,0.9870867149082453,3.0,0.27593582887700535
1782067375.169,0.4625999999999996,1.0,0.9819983616710976,2.0,0.2147024504084014
1782067390.286,0.42424999999999957,1.0,0.8579881656804658,0.0,0.09090909090909091
1782067405.446,0.39252631578947367,1.0,0.7648657289002507,0.0,0.05263157894736842
1782067420.592,0.26964285714285724,1.0,0.5933152086998208,0.0,0.0
1782067435.738,0.1767692307692306,1.0,0.5306799336650072,0.0,0.0
1782067450.867,0.1750666666666666,1.0,0.5281253748051028,0.0,0.0
1782067465.966,0.15274999999999958,1.0,0.5312581167209385,0.0,0.0
1782067481.124,0.15766666666666668,1.0,0.5365210090752747,0.0,0.0
1782067496.229,0.15224999999999966,1.0,0.5224670835747465,0.0,0.0
1782067511.41,0.15112499999999984,1.0,0.5333333333333392,0.0,0.0
